"No.","Activity","Precedence","Operation"
"1","Chocks on"," ","Start deboarding"
"2","External power","1","Start deboarding"
"3","Placing the PBB/stairs","1,2","Start deboarding"
"4","Aircraft doors open","3","Start deboarding"
"5","Deboarding at L1","4","Deboarding"
"6","End of deboarding","5","Deboarding"
"7","Aircraft inspection","3","Deboarding"
"8","PRM servicing ARRIVAL","5","PRM arrival servicing"
"9","End of PRM servicing ARRIVAL","8","PRM arrival servicing"
"10","Placing the catering vehicle at R1","3","Catering"
"11","Catering at R1","4,8,9","Catering"
"12","Moving out the catering vehicle at R1","11","Catering"
"13","Placing the catering vehicle at R2","12","Catering"
"14","Catering at R2","13","Catering"
"15","Moving out the catering vehicle at R2","14","Catering"
"16","Placing cleaning vehicle","3","Cleaning"
"17","Cleaning","4,8,9","Cleaning"
"18","Moving out the cleaning vehicle","17","Cleaning"
"19","PRM vehicle placement departure","17,3","PRM departure servicing"
"20","PRM Servicing departure","19","PRM departure servicing"
"21","Boarding at L1","17,2","Boarding"
"22","End of boarding","21","Boarding"
"23","Placement conveyor belt","3","Bulk unloading"
"24","Bulk unload front holds","23","Bulk unloading"
"25","Bulk unload back holds","23","Bulk unloading"
"26","Bulk load front holds","24","Bulk loading"
"27","Bulk load back holds","25","Bulk loading"
"28","Moving out conveyor belt","26,27","Bulk loading"
"29","Placing FUEL HYDRANT DISPENSER or TANKER","2","Refueling"
"30","Start Refueling","9","Refueling"
"31","End of refueling","30","Refueling"
"32","Moving out FUEL HYDRANT DISPENSER or TANKER","31","Refueling"
"33","Placing potable water vehicle","2","Potable water servicing"
"34","Potable water servicing","33","Potable water servicing"
"35","Moving out potable water vehicle","34","Potable water servicing"
"36","Placing lavatory vehicle","2","Toilet servicing"
"37","Toilet servicing","36","Toilet servicing"
"38","Moving out lavatory vehicle","37","Toilet servicing"
"39","Document delivery/lmc","22","Bulk loading"
"40","Moving out stairs","39","Ready for OB"
"41","Hand bags","39","Bulk loading"
"42","Cargo holds close","28","Bulk loading"
"43","Moving out the PBB/stairs/aircraft door close","39","Ready for OB"
"44","Ramp check","43,42,40,38,35,32","Ready for OB"
"45","Off blocks","44","Ready for OB"
