"No.","Activity","ServiceTime","Service","From","To","Precedence","Operation"
"1","Arrival","0","Uncontrollable","",""," ","Start Deboarding"
"2","PlaceStairs","0","Move","StairsStation","StairsLoc","1","Start Deboarding"
"3","Deboarding","25","Uncontrollable","StairsLoc","StairsLoc","2","Deboarding"
"4","PlaceCateringVehicle","0","Move","CateringStation","CateringLoc","1","Catering"
"5","StartCatering","10","Stay","CateringLoc","CateringLoc","3,4","Catering"
"6","MoveOutCateringVehicle","0","Move","CateringLoc","CateringStation","5","Catering"
"7","PlaceAndStartRefueling","0","Move","RefuelingStation","RefuelingLoc","1","Refueling"
"8","Refueling","15","Uncontrollable","RefuelingLoc","RefuelingLoc","7","Refueling"
"9","EndAndMoveOutRefueling","0","Move","RefuelingLoc","RefuelingStation","8","Refueling"
"10","PlaceConveyerVehicle","0","Move","ConveyerStation","ConveyerLoc","1","Bulk Unloading"
"11","UnloadBulk","15","Stay","ConveyerLoc","ConveyerLoc","10","Bulk Unloading"
"12","LoadBulk","15","Stay","ConveyerLoc","ConveyerLoc","11","Bulk Loading"
"13","MoveOutConveyerVehicle","0","Move","ConveyerLoc","ConveyerStation","12","Bulk Loading"
"14","MoveOutStairs","0","Move","StairsLoc","StairsStation","3,6,9,13","Ready for OB"
