Node,Solver,Iteration,Tours,Cost,Time[s]
5,milp,1,"[[0, 1, 2, 3, 4, 5, 0]]",61.99999999999987,0.5162458419799805
5,milp,2,"[[0, 1, 2, 3, 5, 4, 0]]",45.99999999999994,0.07247710227966309
5,milp,3,"[[0, 1, 2, 4, 5, 3, 0]]",59.999999999999915,0.07391214370727539
5,milp,4,"[[0, 1, 2, 3, 5, 4, 0]]",65.9999999999999,0.06070303916931152
5,milp,5,"[[0, 1, 2, 5, 4, 3, 0]]",72.0,0.3347198963165283
5,ortools,1,"[[0, 1, 2, 3, 4, 5, 0]]",62,0.19635677337646484
5,ortools,2,"[[0, 1, 2, 3, 5, 4, 0]]",46,0.003271818161010742
5,ortools,3,"[[0, 1, 2, 4, 5, 3, 0]]",60,0.004760026931762695
5,ortools,4,"[[0, 1, 2, 3, 5, 4, 0]]",66,0.0029489994049072266
5,ortools,5,"[[0, 1, 2, 3, 5, 4, 0]]",72,0.0035257339477539062
10,milp,1,"[[0, 1, 4, 3, 5, 2, 0]]",59.99999999389986,0.07147407531738281
10,milp,2,"[[0, 1, 3, 5, 4, 2, 0]]",67.99999999999986,0.05717778205871582
10,milp,3,"[[0, 1, 2, 4, 5, 3, 0]]",70.0,0.0884408950805664
10,milp,4,"[[0, 1, 2, 3, 5, 4, 0]]",65.99999999999991,0.05907869338989258
10,milp,5,"[[0, 1, 2, 5, 4, 3, 0]]",55.99999999999994,0.1164102554321289
10,ortools,1,"[[0, 1, 4, 3, 5, 2, 0]]",60,0.004454135894775391
10,ortools,2,"[[0, 1, 3, 5, 4, 2, 0]]",68,0.003970146179199219
10,ortools,3,"[[0, 1, 2, 4, 5, 3, 0]]",70,0.0040171146392822266
10,ortools,4,"[[0, 1, 2, 3, 5, 4, 0]]",66,0.004990816116333008
10,ortools,5,"[[0, 1, 2, 5, 4, 3, 0]]",56,0.003481149673461914
20,milp,1,"[[0, 1, 5, 4, 3, 2, 0]]",49.999999999999915,0.08284592628479004
20,milp,2,"[[0, 2, 3, 5, 4, 1, 0]]",71.99999999999987,0.10558104515075684
20,milp,3,"[[0, 5, 3, 4, 2, 1, 0]]",69.99999999999984,0.3732481002807617
20,milp,4,"[[0, 3, 2, 4, 5, 1, 0]]",36.0,0.08715176582336426
20,milp,5,"[[0, 3, 4, 5, 2, 1, 0]]",65.99999999999979,0.09175610542297363
20,ortools,1,"[[0, 1, 5, 4, 3, 2, 0]]",50,0.005557060241699219
20,ortools,2,"[[0, 1, 4, 5, 3, 2, 0]]",72,0.003694772720336914
20,ortools,3,"[[0, 1, 2, 3, 5, 4, 0]]",70,0.0031948089599609375
20,ortools,4,"[[0, 1, 5, 4, 2, 3, 0]]",36,0.004273891448974609
20,ortools,5,"[[0, 1, 2, 5, 4, 3, 0]]",66,0.0036001205444335938
