Node,Agent,ConstraintRatio,MaxTimeGap,Solver,Iteration,Tours,Cost,Time[s]
5,1,1.0,10,milp,1,"[[0, 5, 4, 2, 1, 3, 0]]",101.99999999999999,0.011854171752929688
5,1,1.0,10,milp,2,"[[0, 4, 2, 5, 1, 3, 0]]",80.0,0.011156320571899414
5,1,1.0,10,milp,3,"[[0, 1, 4, 2, 3, 5, 0]]",99.99999999999987,0.007513999938964844
5,1,1.0,10,milp,4,"[[0, 1, 4, 2, 5, 3, 0]]",77.99999999999987,0.008351325988769531
5,1,1.0,10,milp,5,"[[0, 2, 5, 4, 3, 1, 0]]",58.0,0.010281801223754883
5,1,1.0,10,ortools,1,"[[0, 5, 4, 2, 1, 3, 0]]",162,0.005452394485473633
5,1,1.0,10,ortools,2,"[[0, 4, 2, 5, 1, 3, 0]]",138,0.00243377685546875
5,1,1.0,10,ortools,3,"[[0, 1, 4, 2, 3, 5, 0]]",150,0.003087282180786133
5,1,1.0,10,ortools,4,"[[0, 1, 4, 2, 5, 3, 0]]",156,0.002530813217163086
5,1,1.0,10,ortools,5,"[[0, 2, 5, 4, 3, 1, 0]]",96,0.0026862621307373047
5,1,1.0,30,milp,1,"[[0, 5, 3, 2, 1, 4, 0]]",77.99999999999999,0.010442256927490234
5,1,1.0,30,milp,2,"[[0, 3, 5, 1, 4, 2, 0]]",85.99999999999993,0.007643938064575195
5,1,1.0,30,milp,3,"[[0, 3, 2, 1, 4, 5, 0]]",100.0,0.01016855239868164
5,1,1.0,30,milp,4,"[[0, 2, 5, 1, 3, 4, 0]]",75.99999999999997,0.010879278182983398
5,1,1.0,30,milp,5,"[[0, 1, 4, 3, 5, 2, 0]]",54.0,0.010095357894897461
5,1,1.0,30,ortools,1,"[[0, 5, 3, 2, 1, 4, 0]]",150,0.004895687103271484
5,1,1.0,30,ortools,2,"[[0, 3, 5, 1, 4, 2, 0]]",168,0.0032868385314941406
5,1,1.0,30,ortools,3,"[[0, 3, 2, 1, 4, 5, 0]]",168,0.0032951831817626953
5,1,1.0,30,ortools,4,"[[0, 2, 5, 1, 3, 4, 0]]",132,0.0034186840057373047
5,1,1.0,30,ortools,5,"[[0, 1, 4, 3, 5, 2, 0]]",78,0.0030908584594726562
5,1,1.0,50,milp,1,"[[0, 3, 1, 2, 5, 4, 0]]",105.99999999999997,0.009663105010986328
5,1,1.0,50,milp,2,"[[0, 4, 1, 3, 2, 0]]",80.99999999999991,0.0057790279388427734
5,1,1.0,50,milp,3,"[[0, 3, 4, 2, 1, 5, 0]]",85.99999999999999,0.008014917373657227
5,1,1.0,50,milp,4,"[[0, 2, 4, 1, 3, 5, 0]]",116.9999999999999,0.011310577392578125
5,1,1.0,50,milp,5,"[[0, 2, 3, 4, 1, 5, 0]]",92.0,0.01108694076538086
5,1,1.0,50,ortools,1,"[[0, 3, 1, 2, 5, 4, 0]]",168,0.0032351016998291016
5,1,1.0,50,ortools,2,"[[0, 4, 1, 3, 2, 0]]",81,0.002720355987548828
5,1,1.0,50,ortools,3,"[[0, 3, 4, 2, 1, 5, 0]]",144,0.0035703182220458984
5,1,1.0,50,ortools,4,"[[0, 2, 4, 1, 3, 5, 0]]",168,0.0033686161041259766
5,1,1.0,50,ortools,5,"[[0, 2, 3, 4, 1, 5, 0]]",138,0.0030472278594970703
5,1,0.75,10,milp,1,"[[0, 2, 5, 3, 1, 4, 0]]",82.0,0.009143590927124023
5,1,0.75,10,milp,2,"[[0, 3, 5, 2, 1, 4, 0]]",78.0,0.01055145263671875
5,1,0.75,10,milp,3,"[[0, 2, 1, 3, 4, 5, 0]]",90.0,0.009729146957397461
5,1,0.75,10,milp,4,"[[0, 1, 3, 2, 4, 0]]",69.0,0.008842706680297852
5,1,0.75,10,milp,5,"[[0, 4, 1, 5, 3, 2, 0]]",100.0,0.010265827178955078
5,1,0.75,10,ortools,1,"[[0, 2, 5, 3, 1, 4, 0]]",126,0.0037238597869873047
5,1,0.75,10,ortools,2,"[[0, 3, 5, 2, 1, 4, 0]]",126,0.003117799758911133
5,1,0.75,10,ortools,3,"[[0, 2, 1, 3, 4, 5, 0]]",150,0.0036072731018066406
5,1,0.75,10,ortools,4,"[[0, 1, 3, 2, 4, 0]]",69,0.002166271209716797
5,1,0.75,10,ortools,5,"[[0, 4, 1, 5, 3, 2, 0]]",168,0.0030126571655273438
5,1,0.75,30,milp,1,"[[0, 5, 1, 3, 2, 4, 0]]",94.0,0.01017451286315918
5,1,0.75,30,milp,2,"[[0, 5, 4, 2, 1, 3, 0]]",106.0,0.011930465698242188
5,1,0.75,30,milp,3,"[[0, 3, 2, 4, 1, 5, 0]]",132.0,0.011152505874633789
5,1,0.75,30,milp,4,"[[0, 1, 3, 2, 4, 5, 0]]",73.99999999999999,0.009880542755126953
5,1,0.75,30,milp,5,"[[0, 4, 3, 1, 5, 2, 0]]",48.0,0.010912656784057617
5,1,0.75,30,ortools,1,"[[0, 5, 1, 3, 2, 4, 0]]",144,0.00408172607421875
5,1,0.75,30,ortools,2,"[[0, 5, 2, 1, 4, 3, 0]]",156,0.004327535629272461
