Node,Agent,ConstraintRatio,MaxTimeGap,Solver,Iteration,Tours,Cost,Time[s],Bound
5,2,1.0,10,milp,1,"[[0, 2, 1, 3, 0], [0, 5, 4, 0]]",108.0,0.009137392044067383,2.5
5,2,1.0,30,milp,1,"[[0, 2, 3, 1, 0], [0, 4, 5, 0]]",98.99999999999994,0.011960506439208984,1.0
5,2,1.0,50,milp,1,"[[0, 1, 2, 0], [0, 3, 5, 4, 0]]",75.0,0.015358209609985352,7.333333333333334
5,2,0.75,10,milp,1,"[[0, 3, 5, 1, 0], [0, 4, 2, 0]]",90.0,0.010431528091430664,2.0
5,2,0.75,30,milp,1,"[[0, 1, 3, 0], [0, 5, 2, 4, 0]]",114.0,0.011945009231567383,7.0
5,2,0.75,50,milp,1,"[[0, 1, 4, 0], [0, 2, 3, 5, 0]]",109.0,0.011056184768676758,3.5
5,2,0.5,10,milp,1,"[[0, 1, 3, 2, 0], [0, 4, 5, 0]]",95.99999999999997,0.010749101638793945,3.5
5,2,0.5,30,milp,1,"[[0, 1, 2, 4, 0], [0, 5, 3, 0]]",134.0,0.011483192443847656,3.5
5,2,0.5,50,milp,1,"[[0, 2, 1, 0], [0, 5, 4, 3, 0]]",101.0,0.011743307113647461,18.75
5,2,0.25,10,milp,1,"[[0, 1, 5, 0], [0, 3, 4, 2, 0]]",114.99999999999999,0.012830734252929688,2.5
5,2,0.25,30,milp,1,"[[0, 1, 3, 0], [0, 5, 4, 2, 0]]",125.99999999999997,0.011096477508544922,6.666666666666668
5,2,0.25,50,milp,1,"[[0, 2, 1, 0], [0, 3, 4, 5, 0]]",117.0,0.01584601402282715,27.0
5,10,1.0,10,milp,1,"[[0, 1, 0], [0, 2, 0], [0, 3, 0], [0, 4, 0], [0, 5, 0]]",108.0,0.005767822265625,2.5
5,10,1.0,30,milp,1,"[[0, 1, 0], [0, 2, 0], [0, 3, 0], [0, 4, 0], [0, 5, 0]]",94.0,0.005468845367431641,1.0
